time,temperature_2m (°C),precipitation (mm),rain (mm),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),windspeed_10m (km/h),winddirection_10m (°),rain_moving_avg
2020-02-13,4.116666666666666,0.6416666666666667,0.6416666666666667,95.125,72.125,96.54166666666667,96.33333333333333,6.791666666666667,167.83333333333334,0.32202380952380943
2020-02-14,1.1458333333333333,0.0,0.0,14.25,6.458333333333333,0.9583333333333334,26.041666666666668,16.754166666666666,310.6666666666667,0.21011904761904754
2020-02-15,-5.954166666666667,0.0,0.0,7.083333333333333,0.0,0.0,23.666666666666668,10.779166666666667,275.8333333333333,0.21011904761904754
2020-02-16,0.7083333333333334,0.0,0.0,45.0,0.2916666666666667,33.166666666666664,82.5,11.883333333333333,212.29166666666666,0.20952380952380942
2020-02-17,4.55,0.0,0.0,27.125,2.6666666666666665,22.0,38.166666666666664,4.8374999999999995,292.0416666666667,0.16071428571428564
2020-02-18,4.495833333333333,0.029166666666666664,0.029166666666666664,78.375,42.791666666666664,61.75,72.58333333333333,11.095833333333333,73.70833333333333,0.09583333333333324
2020-02-19,6.254166666666666,0.008333333333333333,0.008333333333333333,47.208333333333336,21.708333333333332,49.291666666666664,45.875,12.470833333333333,306.7083333333333,0.09702380952380943
2020-02-20,0.6458333333333334,0.0,0.0,44.916666666666664,6.833333333333333,42.75,49.833333333333336,9.120833333333334,318.2083333333333,0.005357142857142762
2020-02-21,-2.2125,0.0,0.0,2.625,1.7916666666666667,1.0,1.25,13.166666666666666,332.0833333333333,0.005357142857142762
2020-02-22,1.7874999999999999,0.0,0.0,0.0,0.0,0.0,0.0,13.025,245.95833333333334,0.005357142857142762
2020-02-23,4.5249999999999995,0.0,0.0,0.125,0.0,0.0,0.375,9.258333333333333,247.79166666666666,0.005357142857142762
2020-02-24,5.908333333333334,0.0,0.0,13.791666666666666,0.0,10.541666666666666,24.833333333333332,7.316666666666666,206.08333333333334,0.005357142857142762
2020-02-25,7.9375,0.23750000000000002,0.23750000000000002,81.04166666666667,36.583333333333336,76.79166666666667,75.25,6.204166666666667,171.45833333333334,0.03511904761904753
2020-02-26,7.5625,0.0,0.0,99.875,99.41666666666667,53.5,15.541666666666666,6.9375,60.333333333333336,0.033928571428571336
2020-02-27,5.7250000000000005,0.5583333333333333,0.5583333333333333,70.79166666666667,67.625,39.916666666666664,39.416666666666664,23.329166666666666,193.75,0.1136904761904761
2020-02-28,1.3,0.0,0.0,24.958333333333332,2.875,31.708333333333332,11.166666666666666,23.458333333333332,254.0,0.1136904761904761
2020-02-29,0.2916666666666667,0.0,0.0,34.791666666666664,7.875,46.958333333333336,1.125,15.762500000000001,277.0,0.1136904761904761
2020-03-01,0.041666666666666664,0.0,0.0,11.958333333333334,13.083333333333334,0.3333333333333333,0.0,15.85,299.125,0.1136904761904761
2020-03-02,5.508333333333333,0.0,0.0,23.916666666666668,0.0,19.208333333333332,41.083333333333336,10.799999999999999,203.125,0.1136904761904761
2020-03-03,10.395833333333334,0.2791666666666667,0.2791666666666667,78.625,36.666666666666664,56.291666666666664,75.95833333333333,11.700000000000001,199.91666666666666,0.11964285714285705
2020-03-04,9.691666666666666,0.09583333333333334,0.09583333333333334,34.708333333333336,19.083333333333332,28.708333333333332,6.541666666666667,21.191666666666666,262.25,0.13333333333333325
2020-03-05,7.270833333333333,0.012499999999999999,0.012499999999999999,9.291666666666666,0.16666666666666666,6.458333333333333,17.541666666666668,10.5,285.0833333333333,0.055357142857142765
2020-03-06,4.75,0.1625,0.1625,48.25,5.75,43.5,64.04166666666667,9.929166666666667,104.125,0.07857142857142849
2020-03-07,4.195833333333334,0.0375,0.0375,52.75,11.75,43.5,60.708333333333336,17.629166666666666,285.5833333333333,0.08392857142857134
2020-03-08,5.416666666666667,0.0,0.0,1.4166666666666667,0.0,2.0,0.75,11.733333333333334,278.3333333333333,0.08392857142857134
2020-03-09,11.0,0.0,0.0,5.458333333333333,0.0,0.0,18.041666666666668,13.754166666666668,235.875,0.08392857142857134
2020-03-10,13.125,0.041666666666666664,0.041666666666666664,53.083333333333336,3.6666666666666665,47.708333333333336,72.25,14.4375,226.04166666666666,0.0499999999999999
2020-03-11,10.4125,0.029166666666666664,0.029166666666666664,43.333333333333336,7.333333333333333,26.583333333333332,69.04166666666667,10.275,204.41666666666666,0.04047619047619038
2020-03-12,6.825,0.0,0.0,67.0,53.458333333333336,52.041666666666664,20.791666666666668,7.454166666666667,94.16666666666667,0.038690476190476095
2020-03-13,11.795833333333334,0.46249999999999997,0.46249999999999997,78.95833333333333,74.41666666666667,47.5,45.458333333333336,15.983333333333334,167.58333333333334,0.08154761904761895
2020-03-14,9.804166666666667,0.0,0.0,13.333333333333334,0.0,6.166666666666667,31.916666666666668,14.829166666666666,299.6666666666667,0.07619047619047607
2020-03-15,8.158333333333333,0.008333333333333333,0.008333333333333333,44.541666666666664,0.5,52.708333333333336,41.583333333333336,8.9625,236.33333333333334,0.07738095238095229
2020-03-16,3.966666666666667,0.0,0.0,31.541666666666668,28.541666666666668,0.25,29.0,12.762500000000001,68.70833333333333,0.07738095238095229
2020-03-17,6.866666666666667,0.1708333333333333,0.1708333333333333,77.66666666666667,35.333333333333336,65.33333333333333,42.833333333333336,8.154166666666667,149.47826086956522,0.09583333333333321
2020-03-18,7.8125,0.0,0.0,25.208333333333332,14.416666666666666,2.125,36.333333333333336,8.279166666666667,234.66666666666666,0.09166666666666656
2020-03-19,7.404166666666666,0.65,0.65,98.20833333333333,86.91666666666667,61.666666666666664,77.83333333333333,11.154166666666667,83.91666666666667,0.1845238095238094
2020-03-20,12.229166666666666,0.125,0.125,71.70833333333333,42.208333333333336,41.041666666666664,88.29166666666667,9.9375,175.95833333333334,0.1363095238095237
2020-03-21,11.483333333333334,0.0,0.0,41.208333333333336,0.4166666666666667,35.166666666666664,65.70833333333333,15.3375,217.5,0.1363095238095237
2020-03-22,3.8375,0.0,0.0,52.0,40.916666666666664,16.708333333333332,19.541666666666668,13.916666666666666,53.458333333333336,0.1351190476190475
2020-03-23,3.8333333333333335,0.6749999999999999,0.6541666666666667,91.625,64.5,85.375,88.66666666666667,18.8875,90.79166666666667,0.22857142857142845
2020-03-24,6.120833333333334,0.04583333333333334,0.04583333333333334,53.166666666666664,50.583333333333336,13.916666666666666,6.208333333333333,12.616666666666667,278.7916666666667,0.2107142857142856
2020-03-25,6.3875,0.016666666666666666,0.016666666666666666,74.5,44.458333333333336,65.66666666666667,60.25,15.674999999999999,59.583333333333336,0.21309523809523798
2020-03-26,6.995833333333334,0.0,0.0,10.666666666666666,10.083333333333334,1.75,1.6666666666666667,8.383333333333333,179.29166666666666,0.12023809523809513
2020-03-27,12.504166666666668,0.0,0.0,41.791666666666664,1.2083333333333333,50.208333333333336,35.166666666666664,10.979166666666666,265.875,0.10238095238095227
2020-03-28,9.266666666666667,0.22083333333333333,0.22083333333333333,56.708333333333336,17.208333333333332,56.583333333333336,68.875,10.570833333333333,61.75,0.1339285714285713
2020-03-29,8.558333333333334,0.13749999999999998,0.13749999999999998,100.0,100.0,63.25,83.41666666666667,14.829166666666666,57.375,0.15357142857142847
2020-03-30,8.170833333333333,0.07916666666666668,0.07916666666666668,93.66666666666667,89.79166666666667,23.666666666666668,2.875,8.516666666666667,86.41666666666667,0.07142857142857131
2020-03-31,6.570833333333333,0.09166666666666667,0.09166666666666667,99.375,98.20833333333333,58.458333333333336,23.916666666666668,8.424999999999999,101.91666666666667,0.07797619047619035
2020-04-01,7.175,0.0,0.0,78.66666666666667,45.208333333333336,47.083333333333336,67.41666666666667,12.208333333333334,132.33333333333334,0.07559523809523797
2020-04-02,9.112499999999999,0.0,0.0,19.666666666666668,3.5416666666666665,24.375,6.0,20.716666666666665,314.375,0.07559523809523797
2020-04-03,9.741666666666667,0.22083333333333333,0.22083333333333333,92.54166666666667,51.75,94.875,70.5,21.933333333333334,334.7916666666667,0.10714285714285701
2020-04-04,10.445833333333333,0.004166666666666667,0.004166666666666667,98.5,89.79166666666667,71.95833333333333,2.4583333333333335,11.479166666666666,76.0,0.0761904761904761
2020-04-05,10.637500000000001,0.0,0.0,78.70833333333333,50.791666666666664,60.916666666666664,34.125,6.3500000000000005,187.25,0.05654761904761894
2020-04-06,12.370833333333332,0.0,0.0,22.291666666666668,7.208333333333333,19.541666666666668,13.291666666666666,7.766666666666667,258.75,0.045238095238095126
2020-04-07,13.075000000000001,0.0,0.0,38.041666666666664,0.375,32.708333333333336,60.083333333333336,8.691666666666666,273.0416666666667,0.032142857142857036
2020-04-08,13.041666666666666,0.2625,0.2625,60.583333333333336,28.916666666666668,44.041666666666664,40.541666666666664,8.9375,240.125,0.06964285714285703
2020-04-09,10.779166666666667,0.5125000000000001,0.5125000000000001,43.541666666666664,18.0,36.958333333333336,34.666666666666664,15.579166666666666,201.75,0.14285714285714277
2020-04-10,7.408333333333334,0.049999999999999996,0.049999999999999996,32.166666666666664,6.5,42.041666666666664,3.4166666666666665,25.72083333333333,279.125,0.11845238095238086
2020-04-11,7.920833333333333,0.0,0.0,16.916666666666668,0.16666666666666666,27.958333333333332,0.0,20.962500000000002,286.5416666666667,0.11785714285714277
2020-04-12,10.183333333333334,0.0,0.0,23.0,0.041666666666666664,22.125,32.0,10.158333333333333,180.29166666666666,0.11785714285714277
2020-04-13,15.133333333333333,1.8916666666666666,1.8916666666666666,89.375,46.083333333333336,78.875,85.125,27.979166666666668,186.91666666666666,0.388095238095238
2020-04-14,12.125,0.0,0.0,24.958333333333332,0.125,26.458333333333332,29.416666666666668,14.158333333333333,284.9583333333333,0.388095238095238
2020-04-15,8.816666666666666,0.075,0.075,67.125,3.2083333333333335,82.33333333333333,51.166666666666664,13.708333333333334,284.5416666666667,0.3613095238095237
2020-04-16,7.6875,0.004166666666666667,0.004166666666666667,22.875,2.75,34.083333333333336,0.0,17.875,269.5416666666667,0.288690476190476
2020-04-17,5.879166666666666,0.029166666666666664,0.029166666666666664,33.708333333333336,5.833333333333333,31.458333333333332,39.125,13.262500000000001,267.4166666666667,0.2857142857142856
2020-04-18,6.483333333333333,0.5125000000000001,0.5125000000000001,90.91666666666667,61.791666666666664,86.0,56.583333333333336,11.895833333333334,168.58333333333334,0.3589285714285713
2020-04-19,8.704166666666667,0.0,0.0,14.583333333333334,0.0,12.708333333333334,23.25,15.604166666666666,245.66666666666666,0.3589285714285713
2020-04-20,11.254166666666668,0.0,0.0,68.125,0.041666666666666664,68.45833333333333,89.91666666666667,11.8125,157.20833333333334,0.08869047619047607
2020-04-21,9.975,0.40416666666666673,0.40416666666666673,35.25,7.25,35.916666666666664,26.083333333333332,15.4125,211.5,0.14642857142857132
2020-04-22,6.6375,0.0,0.0,23.916666666666668,1.25,37.958333333333336,0.0,22.4375,291.4583333333333,0.13571428571428562
2020-04-23,6.7749999999999995,0.0,0.0,42.166666666666664,0.25,49.541666666666664,40.5,6.079166666666667,251.95833333333334,0.1351190476190475
